TableName;CounterName;Aggregation;Alias;CounterOSSName;CounterLongName;HwiFuncsetId;HwiMuId
NOK_3G_BS_M5003;M5003C3;SUM;M5003C3;CCH_DATA_TO_IUB_INTERFACE;CCH DATA VOLUME TO IUB-INTERFACE;null;null
NOK_3G_BS_M5003;M5003C4;SUM;M5003C4;CCH_DATA_FROM_IUB;CCH DATA VOLUME FROM IUB-INTERFACE;null;null
NOK_3G_BS_M5003;M5003C5;SUM;M5003C5;DCH_DATA_TO_IUB;DCH DATA VOLUME TO IUB-INTERFACE;null;null
NOK_3G_BS_M5003;M5003C6;SUM;M5003C6;DCH_DATA_FROM_IUB;DCH DATA VOLUME FROM IUB-INTERFACE;null;null
NOK_3G_BS_M5003;M5003C7;SUM;M5003C7;EDCH_DATA_TO_IUB;E-DCH DATA VOLUME TO IUB-INTERFACE;null;null
NOK_3G_BS_M5003;M5003C8;SUM;M5003C8;CCH_FP_REC_DATA_FRMS;CCH FP DATA FRAMES SUCCESSFULLY RECEIVED;null;null
NOK_3G_BS_M5003;M5003C9;SUM;M5003C9;CCH_FP_FRMS_W_CRC_ERROR;CCH FP DATA FRAMES DISCARDED DUE TO HEADER CRC ERROR;null;null
NOK_3G_BS_M5003;M5003C10;SUM;M5003C10;CCH_FP_FRMS_W_DELAY;CCH FP DATA FRAMES DISCARDED DUE TO TOO HIGH DELAY;null;null
NOK_3G_BS_M5003;M5003C11;SUM;M5003C11;CCH_FP_FRMS_W_OTH_ERR;CCH FP DATA FRAMES DISCARDED DUE TO OTHER REASONS;null;null
NOK_3G_BS_M5003;M5003C12;SUM;M5003C12;DCH_OK_FP_DATA_FRMS;DCH FP DATA FRAMES SUCCESSFULLY RECEIVED;null;null
NOK_3G_BS_M5003;M5003C13;SUM;M5003C13;DCH_FP_REC_FRMS_W_CRC_ERR;DCH FP DATA FRAMES DISCARDED DUE TO HEADER CRC ERROR;null;null
NOK_3G_BS_M5003;M5003C14;SUM;M5003C14;DCH_FP_REC_FRMS_W_DELAY;DCH FP DATA FRAMES DISCARDED DUE TO TOO HIGH DELAY;null;null
NOK_3G_BS_M5003;M5003C15;SUM;M5003C15;DCH_FP_REC_FRMS_W_OTH_ERR;DCH FP DATA FRAMES DISCARDED DUE TO OTHER REASONS;null;null
NOK_3G_BS_M5003;M5003C16;SUM;M5003C16;HS_DSCH_OK_FP_FRMS;HS-DSCH FP DATA FRAMES SUCCESSFULLY RECEIVED;null;null
NOK_3G_BS_M5003;M5003C17;SUM;M5003C17;HS_DSCH_FP_FRMS_W_CRC;HS-DSCH FP DATA FRAMES DISCARDED DUE TO HEADER CRC ERROR;null;null
NOK_3G_BS_M5003;M5003C18;SUM;M5003C18;HS_DSCH_FP_FRMS_W_OTH_ERR;HS-DSCH FP DATA FRAMES DISCARDED DUE TO OTHER REASONS;null;null
NOK_3G_BS_M5003;M5003C19;SUM;M5003C19;MACE_PDU_LOST;MAC-E PDU LOST;null;null
NOK_3G_BS_M5003;M5003C20;SUM;M5003C20;HSDSCH_DATA_FROM_IUB;HS-DSCH DATA VOLUME FROM IUB-INTERFACE;null;null
NOK_3G_BS_M5003;M5003C21;SUM;M5003C21;HS_DSCH_FRMS_NOT_RCVD;HS-DSCH FP DATA FRAMES NOT RECEIVED;null;null
NOK_3G_BS_M5003;M5003C22;SUM;M5003C22;HS_DSCH_FRMS_INVLD_NOT_RCVD;HS-DSCH FP DATA FRAMES INVALID AND NOT RECEIVED;null;null
NOK_4G_BS_M51373;M51373C0;SUM;M51373C0;ifInMCastPacketsIPv4;The number of IPv4 Multicast packets or fragments received at the IPv4 network interface.;null;null
NOK_4G_BS_M51373;M51373C1;SUM;M51373C1;ifInMCastOctetsIPv4;The total number of bytes received in IP Multicast packets or fragments at IPv4 network interface. ;null;null
NOK_4G_BS_M51373;M51373C2;SUM;M51373C2;ifOutMCastPacketsIPv4;The number of IPv4 Multicast packets or fragments transmitted at the IPv4 network interface.;null;null
